"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Malphite","Top",3,"2.7%","0.0%","2.7%","67%","67%",2,3,16,6,"45.0%","15.0%","0%",-485,-561,-19,8.5,"24.4%",375,"17.7%","19.3%",0.57,0.19
"Malzahar","Middle",7,"6.3%","5.4%","11.6%","29%","71%",16,18,35,2.8,"82.3%","22.2%","29%",-60,19,-6.7,9.6,"26.8%",512,"29.0%","23.9%",0.38,0.21
"Maokai","Top",3,"2.7%","0.0%","2.7%","67%","100%",3,3,20,7.7,"54.8%","10.3%","0%",-309,56,-6,7.4,"20.7%",250,"14.0%","18.1%",0.53,0.15
"Miss Fortune","ADC",1,"0.9%","0.0%","0.9%","0%","100%",4,2,2,3,"75.0%","13.3%","100%",-1137,-171,-25,7.9,"25.5%",521,"28.0%","24.0%",0.41,0.52
"Morgana","Support",15,"13.4%","9.8%","23.2%","47%","67%",13,45,136,3.3,"75.6%","24.5%","33%",146,92,-3.1,0.6,"2.2%",232,"13.1%","10.4%",1.21,0.31
"Nami","Support",3,"2.7%","0.9%","3.6%","33%","67%",0,6,25,4.2,"86.2%","16.7%","33%",-64,-23,-13,0.5,"2.0%",151,"8.3%","8.3%",1.14,0.33
"Nasus","Top",3,"2.7%","0.0%","2.7%","33%","67%",13,13,8,1.6,"77.8%","33.3%","0%",-571,-351,-4.7,8.5,"24.8%",592,"31.7%","24.3%",0.63,0.12
"Nidalee","Jungle",3,"2.7%","4.5%","7.1%","33%","67%",10,10,12,2.2,"73.3%","21.3%","0%",437,772,13.7,6.1,"17.9%",365,"19.3%","21.7%",1.53,0.52
"Nunu & Willump","Jungle",7,"6.3%","13.4%","19.6%","71%","57%",3,17,43,2.7,"64.8%","23.9%","14%",10,-30,0.4,4.7,"11.0%",67,"3.8%","15.0%",0.99,0.29
"Olaf","Jungle",9,"8.0%","7.1%","16.1%","33%","0%",20,25,44,2.6,"68.1%","20.3%","22%",-73,-34,-1.1,5.1,"14.1%",278,"16.2%","17.7%",1.09,0.34
"Olaf","Top",1,"0.9%","7.1%","16.1%","0%","100%",0,4,3,0.8,"37.5%","25.0%","100%",9,-52,9,8.2,"25.9%",326,"13.4%","22.0%",0.5,0.04
"Orianna","Middle",10,"8.9%","1.8%","10.7%","40%","70%",20,25,36,2.2,"62.2%","23.8%","20%",-58,89,4.2,9.8,"28.1%",497,"29.6%","24.9%",0.55,0.28
"Ornn","Support",2,"1.8%","35.7%","68.8%","50%","0%",3,4,16,4.8,"100.0%","18.2%","0%",167,654,7.5,2.7,"6.7%",283,"14.5%","13.4%",1.33,0.38
"Ornn","Top",35,"31.3%","35.7%","68.8%","46%","49%",50,74,169,3,"58.4%","19.2%","20%",11,158,3.8,7.7,"21.8%",346,"18.9%","20.0%",0.54,0.13
"Rakan","Support",18,"16.1%","11.6%","27.7%","67%","22%",15,46,162,3.8,"80.5%","24.5%","56%",50,-91,-7.6,0.7,"2.7%",164,"9.4%","11.2%",1.17,0.41
"Rek'Sai","Jungle",3,"2.7%","0.9%","3.6%","33%","100%",10,12,14,2,"68.6%","25.0%","0%",331,68,-1.7,4.6,"13.3%",264,"16.6%","18.7%",1.06,0.31
"Rengar","Jungle",1,"0.9%","0.9%","1.8%","0%","100%",0,1,0,0,"0.0%","11.1%","0%",2,322,-6,4.2,"9.3%",117,"7.9%","13.6%",1.59,0.94
"Riven","Jungle",1,"0.9%","0.0%","1.8%","0%","100%",3,6,1,0.7,"100.0%","28.6%","0%",-256,780,17,5.1,"9.3%",199,"19.8%","23.2%",0.46,0.28
"Riven","Top",1,"0.9%","0.0%","1.8%","100%","100%",3,1,4,7,"43.8%","50.0%","0%",-57,-140,-6,9.1,"30.0%",596,"28.9%","23.6%",0.48,0.17
